range	bloomHash	bloomSize	indexHash	indexSize
003197418-003200000	QmcLYG3MfGP51G3Xv7KnVg2D3xegp3vL2ybYj3xMHLaiBm	131114	QmaJynpLbz12sXvV26HrCUYce1nPu2rFCqnJrqnLcSBXzq	715116
003200001-003288034	Qmd7ZWRC3yMJS5ScmKjCawokhGSdc459ETo4pJZqwnw1vW	393266	QmbkcSSnq4WNBx787hdF6hz9jQebtCzJqKnWF7yZBvVycW	19342168
003288035-003300000	QmZKaucG6jWbdvZfWx5bjmvYMRXJy1gP5Pb7r7HAqeimuw	131114	QmZmWiaTxiJbb8mCcZ8d8P9KAhQuaDpQDHRghF3ibpgEAF	3153052
003300001-003368131	QmNhfHwCDbchxzqHSEJ8qpMYB1cqTrLxPd6ZsWPQjSe2gU	524342	Qmbk87Cyc7dfXM6KPZ6hrPoMNwRBJ9XYTA4idngyrkc3vo	20638196
003368132-003400000	QmRbqt5hfLsx6fBruSnFtwGvyYRZK5TbPUgnDDPLFSdtvS	393266	QmWwWN1gZmsQNnApx6aVtqAxsLAmgZ73cVXWbRcoPFb5nD	11705384
003400001-003454581	QmXU5dpSpZ1khMAJqm6F8eL4pNSvma7LAwxr9BSeMyydum	524342	QmUF68aLTe1uvkA2UDt89PdNRui7GQ8jawJvB44nUoksLg	21186264
003454582-003500000	QmVjPc2PQqga88AHXZyGLxeU8Qsr86Ve5D1J2ghLfQmTbx	524342	QmRromxugeGzkAHoTxbPkYTmFvbw5zuhALLx3hB4xXLJ7j	17627816
003500001-003561468	QmfHyAWWy6VNW3Ak2EsJjdGbnbUCeHVMFFJxEAABuyvmgy	524342	QmWgTomVFRTWuZ4sWUiCycZxccAd8vERzKpG2F9XfjoZv9	20530560
003561469-003600000	QmZbF5zcMjA9qiBBQssVrqbwb4p9Doygosftnk4j1BA9dg	393266	QmQwHzxDAJ6HMPhEPZWkKkKV5jahpdDWdR32SCZxFYCDKN	15111272
003600001-003644512	Qmck59hVuNJQmXifPib6gpDo1RipTonZpspxsHRpPFHU6T	655418	QmPrAhuqXyWYWqUFX98ndfMuRnAKkue2Ft6cVDCNfaEi4f	21977516
003644513-003686952	QmZKFwC6JqFzJAV6CwynTpozhKbAC6vxjSeEgogGRQMvbW	655418	QmQUuNkbv5G6uoAYv6VSKWPJeHJgMavMQhUzF5ir9BHP7B	22903768
003686953-003700000	Qma8ZWtLS9cbf4CH6RbHjaPK3VoEz7gCavbURtje4FvLYP	393266	QmYpcKwWqy1jR5ZcwnuF3Q5r9mirYfijQGw9kHiVzJNwxU	8030176
003700001-003734159	QmNYDuRj7rf4sHYXH68DRVCchqJ7b1UsRWYrKC57N4neAD	786494	QmSpkN4eQpWijo3q7Ma145Uzj2ca6f5wWxFdSjS9UwbShV	23123048
003734160-003760701	QmPGBf3XReeDcFnWgN5s9FYGB8V5aYhz1djH1QPfEnHx13	786494	QmQo6LNim1MniSEsho2FT4hwyMzVNVjp46VxkPcPSEUeey	24207296
003760702-003787514	QmeDUTZCdBNRFg4xTafBbHzvzChMno3H8DYftDkCHPHh4k	917570	QmS1ppfvXpAarZwrZLzYN2WuRorAiHgZMAGFg1f5qmkfHj	24410476
003787515-003800000	QmdWNBEy1KapePdhCziNeXuiAifvnp4X2eahESfoqiLrm3	655418	QmQpDdDCHwqwKeTXwGgLmSUoowqPNL9EtfYaHGTx1mfLDr	14769152
003800001-003820889	QmSGLrpShAcEYoFNXJgzaYYMSJFsdB2LBfwx9fvmSz6RtL	917570	QmRc2D2e9FsZxWWHR78ukfWTZX1oaarQAXyZm8DyHSzwkP	24995876
003820890-003841752	QmRdu6rW43aCpkprHkSG8i6XihfXzWZ6A8tZhWWMzoBQ78	917570	QmWt7NVjwrnTvJTs5RD2f3wxhXjDN78MgTqt2irzPsp9JH	25161016
003841753-003860521	QmNTMpUxz4ETJVnG2DuANxKQraYBhpUQq2tzCnwCiuLvbF	1048646	QmVjuKYV7b2Ym5u4TE1tMFZK2CqBtDWX8SF4oSKzeqJwBn	25897912
